name,uuid
57 Pods Cocoa,83b273b8-5315-441c-88e1-133d07124081
404 Green Gardens,28cdb6c8-54aa-4db3-8083-e89b35e5cdad
A Future for All (F4A),98652c1d-fd15-442b-92fb-cbd920a0a477
A Rocha Ghana (ARG),15c2a270-d395-11ed-8014-0682e69bfbec
A Rocha Uganda (ARU),7bcc4139-a654-4b52-b84f-d03ae9ad00d8
A Tree in Paradise Charitable Foundation,15c17f8b-d395-11ed-8014-0682e69bfbec
Aaron Cocoa Farm,d38481cc-ce8f-4140-88e7-ccf530356e2a
ABC Chrislink Enterprise,2a86d665-146d-4374-9524-be6e872223e4
Acacia Community Development Group,aa51e25a-8242-4a9f-8465-68c35565987f
Acacia EPZ,15c2fe01-d395-11ed-8014-0682e69bfbec
Ace Cop Farms,98053dfe-a00a-4cc8-bbd3-aa036286e315
ACK Nakuru Region Inter-Diocesan Christian Community Services (NRIDCCS),f7294405-88be-431e-9691-fb078ef58371
Action Africa Help International (AAH-I),d18bc89f-ba5a-4dd5-818a-3f88850f4e0a
Action Ceinture Verte pour l'Environnement (ACVE),8bc95387-aecb-4626-aae8-c913e8505d76
Action Communautaire pour le Développement Intégral du Congo et Grands-Lacs (ACDI-CG),948485fa-40b0-4870-95d9-30bac960200c
Action de Développement pour la Securite Alimentaire et la Protection de l'Environnement (ADESAPE),c30589cc-9598-433f-8baa-3a8ceeedf752
Action de Solidarite pour l'Emergence Communautaire (ASEC-RDC),2d764d08-84b1-4698-a014-eeac27c81c2b
Action des Volontaires Unis pour le Développement et la Santé (AVUDS),fd117c02-4853-4bd4-8b07-f282bf7a24d1
Action for Sustainable Development (ASD),15c0aa2e-d395-11ed-8014-0682e69bfbec
Action Humaine pour le Développement Social (AHDS),c7a62840-e7c1-4f61-8c85-5ca3de0d5cfa
Action Humaine pour le Développement Social (AHDS),f6c3385a-ff03-40a0-8d26-c7856b36b095
Action Jeunesse et Paix (AJP),a5970cd6-3b36-43a2-9064-dfaff0a04770
Action le Vert (ALV),7595d947-f2a9-41b5-8784-9911acee520c
Action Naturelle Humanitaire pour la Protection et le Développement (ANAHPD),fd8ab993-f0c3-439f-9429-e583070856d0
Action Paysanne pour la Promotion de l'Agriculture et le Développement Durable (APPAD),872ed2e2-d88a-42e0-8564-bebd7d49eb51
Action pour la Jeunesse d'Afrique (AJA),15c276f4-d395-11ed-8014-0682e69bfbec
Action pour la Paix et pour le Développement Durable (APDD),7b87063f-9d50-4e7f-a383-0831147d5c07
"Action pour la Paix, le Développement Durable et Intégral (APDDI)",0cbca5ae-6afb-4bd3-89b4-3c5572102a60
Action pour la Protection de l'Environnement et la Promotion des Filières Agricoles (APEFA),ae6c00f0-8fc9-4487-afa8-7ac9e1b4bb3e
